Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;2;00065;11;17;00695X;Quemú Quemú;503;155;2;UNIDAD DE LA IZQUIERDA;positivo;1
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;SENADORES NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;2;00065;11;17;00695X;Quemú Quemú;503;155;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;6
;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;;;;;nulos;9
;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;;;;;recurridos;0
;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;;;;;comando;0
;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;;;;;blancos;4
;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;;;;;impugnados;0
SOCIALISTA;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;50;151;1;VAMOS CON VOS;positivo;5
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;200;152;1;PARA RENOVAR A LA IZQUIERDA;positivo;3
FRENTE DE TODOS;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;501;153;1;CELESTE Y BLANCA;positivo;45
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;502;154;1;DEMOCRACIA Y CONSENSO;positivo;33
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;502;154;3;MOVIMIENTO FEDERALISTA;positivo;8
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;502;154;4;NUESTRA CAUSA;positivo;6
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;502;154;5;UNIDOS POR LA PAMPA;positivo;85
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:28;3;00065;11;17;00695X;Quemú Quemú;502;154;2;INTEGRACION PAMPEANA;positivo;11
