Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos,,
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:45;3;00105;16;1;00044X;Adolfo Alsina;165;186;1;PARA RENOVAR A LA IZQUIERDA;positivo;7,,
FRENTE DE TODOS;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:45;3;00105;16;1;00044X;Adolfo Alsina;501;187;1;UNIDAD AZUL,CELESTE Y BLANCA;positivo;43,
JUNTOS SOMOS RIO NEGRO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:45;3;00105;16;1;00044X;Adolfo Alsina;502;188;1;SIGAMOS CRECIENDO;positivo;64,,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:45;3;00105;16;1;00044X;Adolfo Alsina;503;189;2;UNIDAD DE LA IZQUIERDA;positivo;1,,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:45;3;00105;16;1;00044X;Adolfo Alsina;503;189;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;3,,
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:45;3;00105;16;1;00044X;Adolfo Alsina;504;190;3;ROJO,BLANCO Y MORADO;positivo;2,
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:45;3;00105;16;1;00044X;Adolfo Alsina;504;190;1;AMARILLA,AZUL,VERDE Y ROJA;positivo;12
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:45;3;00105;16;1;00044X;Adolfo Alsina;504;190;2;ROJA,BLANCA Y ROJA;positivo;32,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:15;3;00105;16;1;00045X;Adolfo Alsina;;;;;nulos;18,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:15;3;00105;16;1;00045X;Adolfo Alsina;;;;;recurridos;0,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:15;3;00105;16;1;00045X;Adolfo Alsina;;;;;comando;0,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:15;3;00105;16;1;00045X;Adolfo Alsina;;;;;blancos;3,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:15;3;00105;16;1;00045X;Adolfo Alsina;;;;;impugnados;0,,
SOCIALISTA;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:15;3;00105;16;1;00045X;Adolfo Alsina;50;185;1;ALFREDO BRAVO;positivo;10,,
